need_id,site,site_index,scenario_applicability,decision_type,need_class,role,beneficiary,priority,criticality,source_id,evidence_type,evidence_summary,spatial_scope,requested_change,parametric_implication,satisfaction_predicate_id,conflict_links,stress_only,interpretation_note
CHI-AR-N09,Chicago,3,CHI-AR-S,AR,access_mobility,analytical_planner_proxy,"People with mobility disabilities, older adults, and residents relying on walking or cycling access",critical,critical,INT-PREREG,study_defined_analytical_need,Frozen AR stress manipulation: one additional conflicting critical need.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); AR stress-operation extent,Reroute around the frozen blocked edge while preserving access to every required destination.,blocked_edge_used=false; disconnected_required_destinations=0,CHI-AR-N09-P,CHI-N05,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
CHI-AR-N10,Chicago,3,CHI-AR-S,AR,shade_comfort,analytical_planner_proxy,Site users and the affected analytical group,high,noncritical,INT-PREREG,study_defined_analytical_need,Frozen AR stress manipulation: one additional conflicting high-priority need.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); AR stress-operation extent,Increase rest opportunities along the longer rerouted path.,max_rest_interval_m<=35,CHI-AR-N10-P,CHI-N07,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
CHI-CU-N09,Chicago,3,CHI-CU-S,CU,ecology,analytical_planner_proxy,"People with mobility disabilities, older adults, and residents relying on walking or cycling access",critical,critical,INT-PREREG,study_defined_analytical_need,Frozen CU stress manipulation: one additional conflicting critical need.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); CU stress-operation extent,Reserve a protected ecology zone before allocating remaining space to circulation and activity.,protected_ecology_area_fraction>=0.40,CHI-CU-N09-P,CHI-N06,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
CHI-CU-N10,Chicago,3,CHI-CU-S,CU,activity_use,analytical_planner_proxy,Site users and the affected analytical group,high,noncritical,INT-PREREG,study_defined_analytical_need,Frozen CU stress manipulation: one additional conflicting high-priority need.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); CU stress-operation extent,Retain a substantive active-use allocation under land competition.,active_use_area_fraction>=0.25,CHI-CU-N10-P,CHI-N05,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
CHI-RR-N09,Chicago,3,CHI-RR-S,RR,access_mobility,analytical_planner_proxy,"People with mobility disabilities, older adults, and residents relying on walking or cycling access",critical,critical,INT-PREREG,study_defined_analytical_need,Frozen RR stress manipulation: one additional conflicting critical need.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); RR stress-operation extent,"At the frozen revision event, retain the continuous accessible route without changing its substantive predicate.",post_revision_access_predicate_pass=true,CHI-RR-N09-P,CHI-N07,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
CHI-RR-N10,Chicago,3,CHI-RR-S,RR,shade_comfort,analytical_planner_proxy,Site users and the affected analytical group,high,noncritical,INT-PREREG,study_defined_analytical_need,Frozen RR stress manipulation: one additional conflicting high-priority need.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); RR stress-operation extent,"At the later revision event, retain the 0.60 shade target while accommodating the revised requirement.",post_revision_weighted_shade_fraction>=0.60,CHI-RR-N10-P,CHI-N06,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
CHI-EA-N09,Chicago,3,CHI-EA-S,EA,vulnerable_group_priority,analytical_planner_proxy,"People with mobility disabilities, older adults, and residents relying on walking or cycling access",critical,critical,INT-PREREG,study_defined_analytical_need,Frozen EA stress manipulation: one additional conflicting critical need.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); EA stress-operation extent,Ensure the least-served encoded group retains at least 75% of its needs under the stress allocation.,minimum_group_need_retention>=0.75,CHI-EA-N09-P,CHI-N07,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
CHI-EA-N10,Chicago,3,CHI-EA-S,EA,shade_comfort,analytical_planner_proxy,Site users and the affected analytical group,high,noncritical,INT-PREREG,study_defined_analytical_need,Frozen EA stress manipulation: one additional conflicting high-priority need.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); EA stress-operation extent,Limit the gap in shade benefit between the most- and least-served encoded groups.,group_shade_benefit_gap<=0.10,CHI-EA-N10-P,CHI-N03,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
CHI-IP-N09,Chicago,3,CHI-IP-S,IP,maintenance_budget,analytical_planner_proxy,"People with mobility disabilities, older adults, and residents relying on walking or cycling access",critical,critical,INT-PREREG,study_defined_analytical_need,Frozen IP stress manipulation: one additional conflicting critical need.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); IP stress-operation extent,Meet every applicable hard constraint under the reduced stress-scenario budget.,hard_constraint_failures=0; budget_ratio<=1.00,CHI-IP-N09-P,CHI-N06,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
CHI-IP-N10,Chicago,3,CHI-IP-S,IP,activity_use,analytical_planner_proxy,Site users and the affected analytical group,high,noncritical,INT-PREREG,study_defined_analytical_need,Frozen IP stress manipulation: one additional conflicting high-priority need.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); IP stress-operation extent,Retain both the common green fraction and one usable activity zone in the integrated proposal.,green_fraction>=0.35; accessible_usable_activity_area_m2>=100,CHI-IP-N10-P,CHI-N07,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
